file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-18464-0226,GTEX-18464-0225,1.3.6.1.4.1.5962.99.1.2152781379.264011704.1720139732547.4.0,s3://idc-open-data/44ad6b4d-545e-447b-9425-5f02469ea806/*
GTEX-UJHI-1026,GTEX-UJHI-1025,1.3.6.1.4.1.5962.99.1.2141388326.1347449493.1720128339494.4.0,s3://idc-open-data/151b1b9b-4c60-4afd-a9a8-ca7e1bee7733/*
GTEX-1PPH7-0526,GTEX-1PPH7-0525,1.3.6.1.4.1.5962.99.1.2467972809.874992747.1720454923977.4.0,s3://idc-open-data/62ab9286-83ce-4c96-a223-5e0d4378d2ed/*
GTEX-1H1CY-1626,GTEX-1H1CY-1625,1.3.6.1.4.1.5962.99.1.2095729542.974531847.1720082680710.4.0,s3://idc-open-data/d51853f4-463c-47e4-ace2-a736d6edd1e1/*
GTEX-ZTSS-1126,GTEX-ZTSS-1125,1.3.6.1.4.1.5962.99.1.2356647998.9233591.1720343599166.4.0,s3://idc-open-data/9b969510-de2f-448f-bd07-a4b423c8c8fa/*
GTEX-P4QR-0526,GTEX-P4QR-0525,1.3.6.1.4.1.5962.99.1.1970421866.1832796733.1719957373034.4.0,s3://idc-open-data/2121c2fd-ece8-47ee-b673-76c477c8f963/*
GTEX-R55E-1426,GTEX-R55E-1425,1.3.6.1.4.1.5962.99.1.2440130507.1722422821.1720427081675.4.0,s3://idc-open-data/da0dbf5a-1838-4806-bacc-12c1ffe6f00b/*
GTEX-1I1HK-0626,GTEX-1I1HK-0625,1.3.6.1.4.1.5962.99.1.2171706957.1704107006.1720158658125.4.0,s3://idc-open-data/db046a22-2aad-4b70-877a-007f531d57a6/*
GTEX-14ICL-1026,GTEX-14ICL-1025,1.3.6.1.4.1.5962.99.1.2328244173.1537796721.1720315195341.4.0,s3://idc-open-data/540e67a3-c2c5-46e3-84f6-183b54d7aa54/*
GTEX-1JK1U-2026,GTEX-1JK1U-2025,1.3.6.1.4.1.5962.99.1.2057790564.1078456009.1720044741732.4.0,s3://idc-open-data/e6bad74e-4cb2-4334-994a-ce8846107452/*
GTEX-17F96-1226,GTEX-17F96-1225,1.3.6.1.4.1.5962.99.1.2243554069.525257870.1720230505237.4.0,s3://idc-open-data/9556491d-4e0e-4a43-941d-accb06ae4399/*
GTEX-1H1CY-1026,GTEX-1H1CY-1025,1.3.6.1.4.1.5962.99.1.2240114021.1044623847.1720227065189.4.0,s3://idc-open-data/dc6da558-ba91-4f5e-b6dc-b2d9440f4c8c/*
GTEX-1F6RS-0726,GTEX-1F6RS-0725,1.3.6.1.4.1.5962.99.1.2199786054.1993215203.1720186737222.4.0,s3://idc-open-data/bf354d5b-9fc1-414d-a9d8-bbe50831b7a8/*
GTEX-15D1Q-1726,GTEX-15D1Q-1725,1.3.6.1.4.1.5962.99.1.1976837510.1176381138.1719963788678.4.0,s3://idc-open-data/d3b9874c-2df7-420d-8165-ba0c37b30265/*
GTEX-ZXG5-1526,GTEX-ZXG5-1525,1.3.6.1.4.1.5962.99.1.2006886109.180627675.1719993837277.4.0,s3://idc-open-data/99515e22-fcbc-4688-84b5-ce4f1a43fe63/*
GTEX-15CHC-1126,GTEX-15CHC-1125,1.3.6.1.4.1.5962.99.1.2473454410.663245754.1720460405578.4.0,s3://idc-open-data/565d50a1-7125-4d9f-8913-d70e23623fec/*
GTEX-12WSJ-0726,GTEX-12WSJ-0725,1.3.6.1.4.1.5962.99.1.2441424934.189069037.1720428376102.4.0,s3://idc-open-data/a25d0f95-bec4-412f-a993-4038aa409b83/*
GTEX-17MFQ-0126,GTEX-17MFQ-0125,1.3.6.1.4.1.5962.99.1.1972896449.820279038.1719959847617.4.0,s3://idc-open-data/86ee0a07-2cc1-46e7-aaaa-8f0a245574c5/*
GTEX-1A3MW-0126,GTEX-1A3MW-0125,1.3.6.1.4.1.5962.99.1.2042702155.1906413729.1720029653323.4.0,s3://idc-open-data/c2c68f21-cd3c-4b8e-8e57-e0d501bbfcd5/*
GTEX-1C4CL-0126,GTEX-1C4CL-0125,1.3.6.1.4.1.5962.99.1.1967074402.642395135.1719954025570.4.0,s3://idc-open-data/bf921760-5201-4e7d-9006-e7f8a1b1181c/*
GTEX-1A3MV-1026,GTEX-1A3MV-1025,1.3.6.1.4.1.5962.99.1.2115573334.654397027.1720102524502.4.0,s3://idc-open-data/c59bc634-a5e8-4534-a35f-2f95d5eb09da/*
GTEX-1EU9M-2926,GTEX-1EU9M-2925,1.3.6.1.4.1.5962.99.1.2221405757.1397900687.1720208356925.4.0,s3://idc-open-data/71ee251f-29ed-4dc1-93f2-e989f30f9034/*
GTEX-ZV7C-0326,GTEX-ZV7C-0325,1.3.6.1.4.1.5962.99.1.2250214669.507915373.1720237165837.4.0,s3://idc-open-data/a85068c2-fe95-4473-ac24-493fbce4963d/*
GTEX-1JK1U-2226,GTEX-1JK1U-2225,1.3.6.1.4.1.5962.99.1.2277155668.1076540673.1720264106836.4.0,s3://idc-open-data/10800541-099e-4238-aeee-9ddee20e18c4/*
GTEX-X4EO-1226,GTEX-X4EO-1225,1.3.6.1.4.1.5962.99.1.2420180972.336538568.1720407132140.4.0,s3://idc-open-data/f7c181be-4dd3-4c93-98f2-99c6f88f6c90/*
GTEX-14BMU-0726,GTEX-14BMU-0725,1.3.6.1.4.1.5962.99.1.2084758540.1158438396.1720071709708.4.0,s3://idc-open-data/79e06ddc-d755-46b3-a244-8e242c5f9a85/*
GTEX-1J8Q3-2326,GTEX-1J8Q3-2325,1.3.6.1.4.1.5962.99.1.2372125742.120547301.1720359076910.4.0,s3://idc-open-data/00db8bbe-b1c0-4d3a-8395-16d4fef3bf10/*
